lat, lon
52.8134821, -4.1289397
52.8134857, -4.1210225
52.8135014, -4.1289491
52.8135334, -4.1210178
52.8135589, -4.128968
52.8135734, -4.1210112
52.8135786, -4.1289787
52.8136118, -4.1289897
52.8136332, -4.1209949
52.8136603, -4.1290135
52.8136761, -4.1209809
52.8137271, -4.1209631
52.8137382, -4.1209594
52.8137602, -4.1290545
52.8137843, -4.1290668
52.8138141, -4.1290816
52.8138316, -4.1209282
52.8138735, -4.1291088
52.8138898, -4.1209096
52.8139183, -4.1291243
52.8139354, -4.1208946
52.8139407, -4.12913
52.8139459, -4.1291311
52.8139951, -4.1208752
52.8140068, -4.1208716
52.8140524, -4.1208573
52.8140608, -4.1291564
52.8140836, -4.1291563
52.8141229, -4.1291609
52.814143, -4.1291611
52.8141673, -4.1208205
52.8141997, -4.1291912
52.8142162, -4.1208046
52.8142376, -4.1292119
52.8142637, -4.129216
52.8143337, -4.1207678
52.814507, -4.1291753
52.814641, -4.1290109
52.814652, -4.1289921
52.8148317, -4.1287306
52.8148358, -4.1287245
52.8148391, -4.1287192
52.8148392, -4.1206065
52.8149351, -4.1282811
52.8149355, -4.128281
52.8149356, -4.1282807
52.8149366, -4.1282799
52.8149373, -4.1282794
52.8149376, -4.1282809
52.814939, -4.1282812
52.814949, -4.1282809
52.8149562, -4.1282821
52.8149569, -4.1282824
52.8149575, -4.1282824
52.8149576, -4.1282824
52.8149581, -4.1282825
52.8149588, -4.1282828
52.8149589, -4.1282828
52.8149593, -4.1282831
52.8149594, -4.1282832
52.8149609, -4.1282835
52.8149611, -4.1282836
52.8149615, -4.1282839
52.8149618, -4.1285265
52.8149621, -4.1282846
52.8149622, -4.1282849
52.8149623, -4.1282853
52.8149623, -4.1282854
52.8149624, -4.128286
52.8149624, -4.1282863
52.8149624, -4.1282869
52.8149631, -4.1282885
52.8149635, -4.128289
52.8149641, -4.128289
52.814986, -4.1206511
52.815019, -4.1206751
52.815025, -4.1282866
52.815026, -4.1282875
52.815027, -4.1282874
52.8150281, -4.1282877
52.8150282, -4.1282877
52.8150299, -4.1282699
52.815031, -4.1282735
52.8150324, -4.1282691
52.8150326, -4.1282711
52.8150331, -4.1282804
52.8150331, -4.1282805
52.8150331, -4.1282813
52.8150331, -4.1282814
52.8150332, -4.1282805
52.8150332, -4.1282807
52.8150332, -4.1282808
52.8150332, -4.128281
52.8150332, -4.1282811
52.8150332, -4.1282812
52.8150332, -4.1282813
52.8150333, -4.1282806
52.8150333, -4.1282807
52.815033, -4.1282812
52.815033, -4.1282814
52.815034, -4.1282812
52.8150355, -4.1282834
52.8150355, -4.1282847
52.8150355, -4.1282848
52.8150355, -4.1282849
52.8150355, -4.1282853
52.8150355, -4.1282856
52.8150356, -4.1282851
52.8150356, -4.1282852
52.8150356, -4.1282853
52.8150356, -4.1282858
52.8150357, -4.1282854
52.8150357, -4.1282857
52.8150357, -4.1282858
52.8150357, -4.1282859
52.8150357, -4.128286
52.8150357, -4.1282861
52.8150358, -4.1282853
52.8150358, -4.1282855
52.8150358, -4.1282856
52.8150358, -4.1282861
52.8150359, -4.1282862
52.815035, -4.1282823
52.8150361, -4.1282862
52.8150362, -4.1282862
52.8150363, -4.1282862
52.8150364, -4.1282863
52.8150364, -4.1282865
52.8150365, -4.1282892
52.815037, -4.1282866
52.815037, -4.1282867
52.815037, -4.1282911
52.815037, -4.1282932
52.815038, -4.1282923
52.815039, -4.128288
52.8152661, -4.1209623
52.815306, -4.1210085
52.815407, -4.121114
52.8157658, -4.1263008
52.8158014, -4.1262654
52.8158052, -4.126261
52.8158109, -4.121488
52.8158229, -4.1262361
52.8158292, -4.1215042
52.81582, -4.1214961
52.815861, -4.1261508
52.8158629, -4.1261437
52.815869, -4.1261134
52.8158722, -4.1250807
52.8158722, -4.125091
52.8158724, -4.1250703
52.8158724, -4.1251255
52.8158731, -4.1250161
52.8158733, -4.1260757
52.8158739, -4.1249788
52.8158739, -4.1252648
52.8158741, -4.124967
52.8158744, -4.1249552
52.8158746, -4.1259558
52.8158747, -4.1252721
52.8158748, -4.1258544
52.8158751, -4.1260125
52.815875, -4.1259983
52.815875, -4.1260056
52.815875, -4.1260333
52.8158782, -4.1253034
52.8158794, -4.1248378
52.8158797, -4.1257887
52.8158822, -4.1247899
52.8158834, -4.125755
52.8158835, -4.1247656
52.8158835, -4.1253446
52.8158843, -4.1247515
52.8158846, -4.1253549
52.8158848, -4.1257246
52.8158851, -4.1257167
52.8158856, -4.1253662
52.8158857, -4.1247288
52.815885, -4.12474
52.8158871, -4.1254016
52.8158878, -4.1254453
52.8158888, -4.1254814
52.815888, -4.1254535
52.8158891, -4.1254885
52.8158891, -4.1256306
52.8158892, -4.1256227
52.8158893, -4.1246839
52.8158901, -4.1255772
52.8158952, -4.1246265
52.8158956, -4.1215605
52.8159033, -4.1215669
52.8159041, -4.1240131
52.8159044, -4.1245425
52.8159047, -4.1239758
52.8159049, -4.1239678
52.8159049, -4.1240483
52.8159055, -4.1245333
52.8159056, -4.1239232
52.8159056, -4.1239314
52.8159056, -4.123941
52.8159067, -4.1245242
52.8159073, -4.1241314
52.8159082, -4.1238418
52.8159106, -4.1244978
52.8159116, -4.124161
52.8159119, -4.1244894
52.8159128, -4.1237406
52.8159131, -4.1244811
52.8159151, -4.1237012
52.8159155, -4.1241921
52.8159157, -4.1236914
52.8159162, -4.1242005
52.8159165, -4.1244559
52.8159173, -4.1244484
52.815918, -4.1244411
52.8159192, -4.1236436
52.8159204, -4.1244191
52.8159211, -4.1244119
52.8159218, -4.1244047
52.8159222, -4.1242513
52.8159225, -4.1236067
52.8159247, -4.1243702
52.8159248, -4.1242779
52.8159253, -4.124311
52.8159255, -4.124316
52.8159265, -4.1235709
52.8159276, -4.1235624
52.8159334, -4.1231822
52.8159337, -4.1231745
52.8159339, -4.1231663
52.8159343, -4.1235184
52.8159348, -4.1230948
52.815934, -4.1232245
52.8159355, -4.1232598
52.8159368, -4.1230533
52.8159389, -4.122983
52.815938, -4.1230082
52.8159391, -4.122975
52.8159409, -4.123305
52.8159416, -4.1229169
52.8159426, -4.1228875
52.8159467, -4.123321
52.8159481, -4.1227974
52.815949, -4.1227867
52.8159505, -4.1233427
52.8159509, -4.1234083
52.8159512, -4.1233483
52.8159622, -4.1226008
52.8159629, -4.1225915
52.8159768, -4.1224696
52.8159882, -4.122392
52.8159917, -4.1223687
52.8159927, -4.1223618
52.8160042, -4.1217035
52.816004, -4.1222373
52.8160071, -4.1217104
52.8160089, -4.122168
52.8160107, -4.1221346
52.8160149, -4.1220971
52.8160196, -4.1220543
52.8160269, -4.1219855
52.8160276, -4.1218037
52.8160316, -4.1218401
52.8160318, -4.1218463
52.8160324, -4.121875
